xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
133.07142857142858,115.90476190476191,4.9,8.399999999999999,41.15999999999999,0.5833333333333334,128,113,actual
140.0,132.5,2.1,1.4,2.9399999999999995,1.4999999999999998,128,114,
139.83333333333334,136.0,2.1,2.1,4.409999999999998,1.0,128,115,
141.66666666666666,123.33333333333331,1.4,1.4,1.96,1.0,128,116,
144.0,118.5,2.1,1.4,2.9399999999999995,1.4999999999999998,128,117,
144.8,134.2,2.1,2.1,4.409999999999998,1.0,128,118,
150.3125,146.125,3.5,5.6,19.6,0.625,128,119,
149.2,161.2,2.1,2.1,4.409999999999998,1.0,128,120,
149.5,129.0,1.4,2.1,2.9399999999999995,0.6666666666666667,129,113,
149.33333333333334,135.66666666666666,1.4,1.4,1.96,1.0,129,120,
150.8,153.6,2.1,1.4,2.9399999999999995,1.4999999999999998,129,121,
153.8,140.2,2.1,2.1,4.409999999999998,1.0,129,122,
155.0,137.0,2.1,2.1,4.409999999999998,1.0,129,123,
154.5,161.5,1.4,1.4,1.96,1.0,130,112,
158.55555555555554,143.66666666666666,2.8,2.8,7.839999999999999,1.0,130,113,
158.33333333333334,150.66666666666666,1.4,1.4,1.96,1.0,130,123,
160.375,158.0,3.5,4.9,17.15,0.7142857142857144,131,111,
160.88888888888889,174.44444444444446,3.5,2.1,7.349999999999999,1.666666666666667,131,112,
164.66666666666666,159.33333333333334,1.4,1.4,1.96,1.0,131,123,
166.72222222222226,173.05555555555554,3.5,4.199999999999998,14.699999999999998,0.8333333333333335,131,124,
170.33333333333334,172.0,1.4,2.1,2.9399999999999995,0.6666666666666667,132,111,
,,,,,,132,124,
,,,,,,132,125,
,,,,,,133,109,
,,,,,,133,110,
,,,,,,133,111,
,,,,,,133,125,
,,,,,,133,126,
,,,,,,133,127,
,,,,,,134,109,
,,,,,,134,127,
,,,,,,134,128,
,,,,,,135,107,
,,,,,,135,108,
,,,,,,135,109,
,,,,,,135,128,
,,,,,,135,129,
,,,,,,135,130,
,,,,,,135,131,
,,,,,,136,106,
,,,,,,136,107,
,,,,,,136,131,
,,,,,,136,132,
,,,,,,136,133,
,,,,,,136,134,
,,,,,,136,135,
,,,,,,136,136,
,,,,,,136,137,
,,,,,,137,106,
,,,,,,137,137,
,,,,,,137,138,
,,,,,,138,106,
,,,,,,138,138,
,,,,,,138,139,
,,,,,,139,106,
,,,,,,139,139,
,,,,,,139,140,
,,,,,,139,141,
,,,,,,140,106,
