xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
108.47916666666669,131.59375,8.399999999999999,22.4,188.16,0.375,102,120,ml
112.05263157894736,132.76315789473685,4.199999999999998,7.0,29.399999999999995,0.5999999999999999,102,121,
111.66666666666669,120.5,1.4,2.8,3.92,0.5,102,122,
112.66666666666669,148.5,1.4,2.8,3.92,0.5,102,123,
114.5,120.5,1.4,2.8,3.92,0.5,103,120,
115.44444444444444,140.77777777777774,2.8,3.5,9.8,0.7999999999999999,103,123,
115.5,125.5,1.4,1.4,1.96,1.0,103,124,
116.27272727272728,131.45454545454547,2.1,4.199999999999998,8.819999999999997,0.5,103,125,
123.27272727272728,118.1948051948052,11.2,10.5,117.6,1.0666666666666669,104,120,
116.66666666666669,137.33333333333334,1.4,1.4,1.96,1.0,104,125,
118.3,146.9,4.199999999999998,2.1,8.819999999999997,2.0,104,126,
118.46153846153848,122.6153846153846,3.5,2.8,9.8,1.25,104,127,
120.14285714285714,152.78571428571428,4.9,4.199999999999998,20.579999999999995,1.1666666666666667,104,128,
118.0,135.0,0.7,0.7,0.49,1.0,105,120,
119.11111111111113,140.88888888888889,2.1,4.199999999999998,8.819999999999997,0.5,105,128,
120.0,126.25,2.1,1.4,2.9399999999999995,1.4999999999999998,105,129,
120.11111111111113,131.88888888888889,2.8,3.5,9.8,0.7999999999999999,105,130,
122.66666666666669,109.33333333333331,4.199999999999998,2.1,8.819999999999997,2.0,105,131,
124.0,135.35714285714286,5.6,2.8,15.679999999999998,2.0,105,132,
122.16666666666669,142.33333333333334,2.8,1.4,3.92,2.0,105,133,
124.23529411764706,147.17647058823533,4.9,3.5,17.15,1.4,105,134,
122.5,112.0,1.4,0.7,0.98,2.0,105,135,
125.3125,129.5,4.9,4.199999999999998,20.579999999999995,1.1666666666666667,105,136,
123.0,131.33333333333334,2.1,1.4,2.9399999999999995,1.4999999999999998,105,137,
122.5,139.5,1.4,1.4,1.96,1.0,105,138,
126.70370370370372,160.03703703703704,6.3,8.399999999999999,52.91999999999999,0.7500000000000001,105,139,
123.0,154.0,0.7,0.7,0.49,1.0,105,140,
125.0,140.0,0.7,0.7,0.49,1.0,106,119,
125.33333333333331,144.33333333333334,1.4,1.4,1.96,1.0,106,120,
126.0,152.42857142857142,2.1,2.8,5.879999999999999,0.7499999999999999,106,140,
126.0,117.0,0.7,0.7,0.49,1.0,106,141,
127.625,139.5,2.8,2.8,7.839999999999999,1.0,106,142,
127.57142857142857,123.71428571428572,1.4,2.8,3.92,0.5,106,143,
128.33333333333334,113.33333333333331,1.4,1.4,1.96,1.0,106,144,
129.14285714285714,147.57142857142858,2.1,2.8,5.879999999999999,0.7499999999999999,107,118,
128.875,153.75,2.1,4.199999999999998,8.819999999999997,0.5,107,119,
129.66666666666666,129.16666666666666,1.4,2.8,3.92,0.5,107,144,
129.0,134.0,0.7,0.7,0.49,1.0,107,145,
129.5,136.5,1.4,1.4,1.96,1.0,107,146,
129.66666666666666,143.33333333333334,1.4,1.4,1.96,1.0,108,117,
134.10638297872342,163.2127659574468,6.3,7.0,44.1,0.9,108,118,
130.66666666666666,165.66666666666666,1.4,1.4,1.96,1.0,108,146,
131.72727272727272,171.36363636363637,2.8,2.8,7.839999999999999,1.0,108,147,
132.14285714285714,133.71428571428572,2.1,2.1,4.409999999999998,1.0,109,116,
144.9950980392157,143.69117647058823,21.7,17.5,379.75,1.24,109,117,
131.71428571428572,153.57142857142858,2.1,2.8,5.879999999999999,0.7499999999999999,109,147,
133.6,128.4,2.8,1.4,3.92,2.0,110,115,
133.2,130.8,2.8,1.4,3.92,2.0,110,116,
132.6,148.6,2.1,2.1,4.409999999999998,1.0,110,147,
132.33333333333334,157.66666666666666,1.4,1.4,1.96,1.0,110,148,
136.54545454545453,149.9090909090909,4.199999999999998,2.8,11.759999999999998,1.4999999999999998,110,149,
136.28571428571428,153.85714285714286,2.8,2.1,5.879999999999999,1.3333333333333337,111,114,
135.5,156.5,1.4,1.4,1.96,1.0,111,115,
137.11111111111111,167.88888888888889,3.5,3.5,12.25,1.0,111,149,
135.5,172.5,1.4,1.4,1.96,1.0,111,150,
139.9,130.4,4.199999999999998,1.4,5.879999999999999,3.0,112,113,
142.53333333333333,153.2,6.3,3.5,22.05,1.8,112,114,
138.0,158.0,0.7,0.7,0.49,1.0,112,150,
138.66666666666666,160.33333333333334,1.4,1.4,1.96,1.0,112,151,
141.54545454545453,157.9090909090909,3.5,3.5,12.25,1.0,113,113,
140.75,163.25,1.4,2.1,2.9399999999999995,0.6666666666666667,113,151,
143.0,143.0,0.7,0.7,0.49,1.0,113,152,
143.0,152.0,0.7,0.7,0.49,1.0,113,153,
144.66666666666666,161.66666666666666,1.4,1.4,1.96,1.0,114,112,
146.8,157.6,2.1,1.4,2.9399999999999995,1.4999999999999998,114,113,
148.28571428571428,154.0,2.1,2.1,4.409999999999998,1.0,114,153,
