xfa,yfa,xmem,ymem,group
100.6,115.8,96,112,ml
107.0,113.0,96,113,
111.0,102.16666666666669,96,114,
111.0,119.0,96,115,
112.0,117.0,96,116,
114.2,97.6,96,117,
114.57142857142857,104.85714285714286,96,118,
113.0,113.0,97,111,
114.0,101.0,97,112,
114.0,120.0,97,113,
114.5,125.5,97,114,
115.5,109.5,97,115,
116.5,94.5,97,116,
116.5,101.0,97,117,
116.0,113.5,97,118,
124.21311475409836,96.49180327868851,97,119,
117.0,118.0,97,120,
118.0,97.0,98,110,
118.0,112.0,98,111,
123.9375,90.8125,98,112,
120.0,101.5,98,113,
120.0,114.0,98,114,
121.0,117.0,98,115,
122.5,104.0,98,116,
124.5,102.0,98,117,
125.5,112.5,98,118,
126.0,104.5,98,119,
128.0,98.0,98,120,
128.0,100.5,98,121,
128.66666666666666,109.33333333333331,98,122,
129.5,116.66666666666669,98,123,
129.0,104.0,99,109,
130.66666666666666,90.33333333333331,99,110,
130.5,96.5,99,111,
134.68421052631578,97.0,99,112,
133.88888888888889,93.22222222222223,99,113,
131.6,101.8,99,114,
132.0,106.0,99,116,
132.0,113.0,99,117,
135.5,84.83333333333333,99,118,
136.16666666666666,103.08333333333331,99,119,
137.83333333333334,98.83333333333331,99,120,
138.5,88.5,99,121,
139.75,91.75,99,122,
138.0,107.0,99,123,
140.0,102.0,100,109,
140.5,104.0,100,110,
141.5,96.0,100,111,
142.2,100.4,100,112,
141.0,106.5,100,113,
144.4,93.3,100,118,
143.66666666666666,98.66666666666669,100,119,
143.0,103.0,100,120,
143.5,105.5,100,121,
144.83333333333334,88.83333333333331,100,122,
144.0,108.0,100,123,
146.5,95.0,100,124,
146.69230769230768,102.30769230769229,100,125,
148.66666666666666,91.0,100,126,
,,100,127,
,,100,128,
,,101,108,
,,101,109,
,,101,110,
,,101,111,
,,101,112,
,,101,121,
,,101,122,
,,101,123,
,,101,124,
,,101,125,
,,101,126,
,,101,127,
,,101,128,
,,101,129,
,,102,107,
,,102,108,
,,102,109,
,,102,110,
,,102,111,
,,102,121,
,,102,122,
,,102,123,
,,102,124,
,,102,125,
,,102,126,
,,102,127,
,,102,128,
,,102,129,
,,102,130,
,,102,131,
,,102,132,
,,103,106,
,,103,107,
,,103,108,
,,103,109,
,,103,110,
,,103,111,
,,103,122,
,,103,123,
,,103,124,
,,103,125,
,,103,126,
,,103,127,
,,103,128,
,,103,129,
,,103,130,
,,103,131,
,,103,132,
,,103,133,
,,104,104,
,,104,105,
,,104,106,
,,104,107,
,,104,108,
,,104,109,
,,104,110,
,,104,127,
,,104,128,
,,104,129,
,,104,130,
,,104,131,
,,104,132,
,,104,133,
,,105,103,
,,105,104,
,,105,105,
,,105,106,
,,105,107,
,,105,108,
,,105,109,
,,105,130,
,,105,131,
,,105,132,
,,105,133,
,,106,102,
,,106,103,
,,106,104,
,,106,105,
,,106,106,
,,106,107,
,,106,108,
,,106,131,
,,106,132,
,,106,133,
,,107,101,
,,107,102,
,,107,103,
,,107,104,
,,107,105,
,,107,106,
,,107,130,
,,107,131,
,,107,132,
,,107,133,
,,108,99,
,,108,100,
,,108,101,
,,108,102,
,,108,103,
,,108,104,
,,108,105,
,,108,130,
,,108,131,
,,108,132,
,,108,133,
,,109,98,
,,109,99,
,,109,100,
,,109,101,
,,109,102,
,,109,103,
,,109,104,
,,109,129,
,,109,130,
,,109,131,
,,109,132,
,,109,133,
,,110,96,
,,110,97,
,,110,98,
,,110,99,
,,110,100,
,,110,101,
,,110,102,
,,110,103,
,,110,129,
,,110,130,
,,110,131,
,,110,132,
,,110,133,
,,111,95,
,,111,96,
,,111,97,
,,111,98,
,,111,99,
,,111,100,
,,111,101,
,,111,129,
,,111,130,
,,111,131,
,,111,132,
,,111,133,
,,112,94,
,,112,95,
,,112,96,
,,112,97,
,,112,98,
,,112,99,
,,112,100,
,,112,130,
,,112,131,
,,112,132,
,,112,133,
,,113,92,
,,113,93,
,,113,94,
,,113,95,
,,113,96,
,,113,97,
,,113,98,
,,113,130,
,,113,131,
,,113,132,
,,113,133,
,,114,91,
,,114,92,
,,114,93,
,,114,94,
,,114,95,
,,114,96,
,,114,97,
,,114,127,
,,114,128,
,,114,129,
,,114,130,
,,114,131,
,,114,132,
,,114,133,
,,115,91,
,,115,92,
,,115,93,
,,115,94,
,,115,95,
,,115,96,
,,115,127,
,,115,128,
,,115,129,
,,115,130,
,,115,131,
,,115,132,
,,115,133,
,,116,90,
,,116,91,
,,116,92,
,,116,93,
,,116,94,
,,116,124,
,,116,125,
,,116,126,
,,116,127,
,,116,128,
,,116,129,
,,116,130,
,,116,131,
,,116,132,
,,117,90,
,,117,91,
,,117,92,
,,117,93,
,,117,121,
,,117,122,
,,117,123,
,,117,124,
,,117,125,
,,117,126,
,,117,127,
,,117,128,
,,117,129,
,,118,90,
,,118,91,
,,118,92,
,,118,93,
,,118,120,
,,118,121,
,,118,122,
,,118,123,
,,118,124,
,,118,125,
,,118,126,
,,118,127,
,,118,128,
,,118,129,
,,119,89,
,,119,90,
,,119,91,
,,119,92,
,,119,119,
,,119,120,
,,119,121,
,,119,122,
,,119,123,
,,119,124,
,,119,125,
,,119,126,
,,120,89,
,,120,90,
,,120,91,
,,120,92,
,,120,119,
,,120,120,
,,120,121,
,,120,122,
,,120,123,
,,121,88,
,,121,89,
,,121,90,
,,121,91,
,,121,92,
,,121,119,
,,121,120,
,,121,121,
,,121,122,
,,122,88,
,,122,89,
,,122,90,
,,122,91,
,,122,118,
,,122,119,
,,122,120,
,,122,121,
,,123,86,
,,123,87,
,,123,88,
,,123,89,
,,123,90,
,,123,91,
,,123,118,
,,123,119,
,,123,120,
,,123,121,
,,124,86,
,,124,87,
,,124,88,
,,124,89,
,,124,90,
,,124,118,
,,124,119,
,,124,120,
,,124,121,
,,125,84,
,,125,85,
,,125,86,
,,125,87,
,,125,88,
,,125,89,
,,125,90,
,,125,118,
,,125,119,
,,125,120,
,,126,84,
,,126,85,
,,126,86,
,,126,87,
,,126,88,
,,126,118,
,,126,119,
,,126,120,
,,127,84,
,,127,85,
,,127,86,
,,127,87,
,,127,88,
,,127,118,
,,127,119,
,,127,120,
,,128,83,
,,128,84,
,,128,85,
,,128,86,
,,128,118,
,,128,119,
,,128,120,
,,129,82,
,,129,83,
,,129,84,
,,129,85,
,,129,86,
,,129,118,
,,129,119,
,,129,120,
,,130,82,
,,130,83,
,,130,84,
,,130,85,
,,130,86,
,,130,117,
,,130,118,
,,130,119,
,,130,120,
,,131,81,
,,131,82,
,,131,83,
,,131,84,
,,131,85,
,,131,117,
,,131,118,
,,131,119,
,,131,120,
,,132,81,
,,132,82,
,,132,83,
,,132,84,
,,132,117,
,,132,118,
,,132,119,
,,132,120,
,,133,81,
,,133,82,
,,133,83,
,,133,84,
,,133,116,
,,133,117,
,,133,118,
,,133,119,
,,134,81,
,,134,82,
,,134,83,
,,134,114,
,,134,115,
,,134,116,
,,134,117,
,,134,118,
,,134,119,
,,135,81,
,,135,82,
,,135,83,
,,135,113,
,,135,114,
,,135,115,
,,135,116,
,,135,117,
,,135,118,
,,135,119,
,,136,81,
,,136,82,
,,136,83,
,,136,112,
,,136,113,
,,136,114,
,,136,115,
,,136,116,
,,136,117,
,,136,118,
,,137,81,
,,137,82,
,,137,83,
,,137,111,
,,137,112,
,,137,113,
,,137,114,
,,137,115,
,,137,116,
,,138,81,
,,138,82,
,,138,83,
,,138,110,
,,138,111,
,,138,112,
,,138,113,
,,138,114,
,,138,115,
,,139,81,
,,139,82,
,,139,83,
,,139,110,
,,139,111,
,,139,112,
,,139,113,
,,139,114,
,,140,81,
,,140,82,
,,140,83,
,,140,109,
,,140,110,
,,140,111,
,,140,112,
,,140,113,
,,141,81,
,,141,82,
,,141,83,
,,141,109,
,,141,110,
,,141,111,
,,141,112,
,,142,81,
,,142,82,
,,142,83,
,,142,84,
,,142,109,
,,142,110,
,,142,111,
,,142,112,
,,143,81,
,,143,82,
,,143,83,
,,143,84,
,,143,85,
,,143,108,
,,143,109,
,,143,110,
,,143,111,
,,144,81,
,,144,82,
,,144,83,
,,144,84,
,,144,85,
,,144,86,
,,144,108,
,,144,109,
,,144,110,
,,144,111,
,,145,82,
,,145,83,
,,145,84,
,,145,85,
,,145,86,
,,145,96,
,,145,97,
,,145,98,
,,145,99,
,,145,108,
,,145,109,
,,145,110,
,,145,111,
,,146,83,
,,146,84,
,,146,85,
,,146,86,
,,146,87,
,,146,96,
,,146,97,
,,146,98,
,,146,99,
,,146,108,
,,146,109,
,,146,110,
,,147,84,
,,147,85,
,,147,86,
,,147,87,
,,147,88,
,,147,95,
,,147,96,
,,147,97,
,,147,98,
,,147,99,
,,147,100,
,,147,108,
,,147,109,
,,147,110,
,,148,84,
,,148,85,
,,148,86,
,,148,87,
,,148,88,
,,148,89,
,,148,94,
,,148,95,
,,148,96,
,,148,97,
,,148,98,
,,148,99,
,,148,100,
,,148,101,
,,148,108,
,,148,109,
,,148,110,
,,149,85,
,,149,86,
,,149,87,
,,149,88,
,,149,89,
,,149,90,
,,149,91,
,,149,92,
,,149,93,
,,149,94,
,,149,95,
,,149,96,
,,149,97,
,,149,98,
,,149,99,
,,149,100,
,,149,101,
,,149,102,
,,149,107,
,,149,108,
,,149,109,
,,149,110,
,,150,86,
,,150,87,
,,150,88,
,,150,89,
,,150,90,
,,150,91,
,,150,92,
,,150,93,
,,150,94,
,,150,95,
,,150,96,
,,150,97,
,,150,98,
,,150,99,
,,150,100,
,,150,101,
,,150,102,
,,150,103,
,,150,104,
,,150,105,
,,150,106,
,,150,107,
,,150,108,
,,150,109,
,,150,110,
,,151,87,
,,151,88,
,,151,89,
,,151,90,
,,151,91,
,,151,92,
,,151,93,
,,151,94,
,,151,95,
,,151,96,
,,151,99,
,,151,100,
,,151,101,
,,151,102,
,,151,103,
,,151,104,
,,151,105,
,,151,106,
,,151,107,
,,151,108,
,,151,109,
,,151,110,
,,152,89,
,,152,90,
,,152,91,
,,152,92,
,,152,93,
,,152,94,
,,152,100,
,,152,101,
,,152,102,
,,152,103,
,,152,104,
,,152,105,
,,152,106,
,,152,107,
,,152,108,
,,152,109,
,,153,101,
,,153,102,
,,153,103,
,,153,104,
,,153,105,
,,153,106,
