xfa,yfa,width_fa,height_fa,area_fa,aspect_ratio_fa,xmem,ymem,group
71,126.5555556,3.5,2.8,9.8,1.25,67,125,population
70.66666667,137.5555556,2.8,2.8,7.84,1,67,126,
72.35294118,103.3529412,4.2,11.2,47.04,0.375,67,127,
71.84615385,120.3076923,3.5,3.5,12.25,1,67,128,
71.66666667,114,1.4,2.1,2.94,0.666666667,67,129,
72,159,2.1,2.1,4.41,1,67,130,
74.8,169,3.5,2.8,9.8,1.25,67,131,
74.66666667,151.3333333,1.4,1.4,1.96,1,67,132,
75.92307692,176.9230769,3.5,4.2,14.7,0.833333333,67,162,
75,132,0.7,2.1,1.47,0.333333333,67,163,
76.66666667,128.6666667,1.4,1.4,1.96,1,67,164,
77.33333333,146.3333333,1.4,1.4,1.96,1,67,165,
81,180.25,2.1,1.4,2.94,1.5,67,166,
83.52,191.2,7,10.5,73.5,0.666666667,68,103,
84.85714286,109.8571429,3.5,2.1,7.35,1.666666667,68,104,
84.66666667,115.3333333,1.4,1.4,1.96,1,68,105,
84.5,188.5,1.4,1.4,1.96,1,68,106,
86,147.5,2.1,1.4,2.94,1.5,68,107,
88.5,103,1.4,2.1,2.94,0.666666667,68,124,
89.4,113.2,1.4,2.1,2.94,0.666666667,68,125,
89.8,152.2,2.1,2.1,4.41,1,68,132,
89.5,185.5,1.4,2.8,3.92,0.5,68,133,
91.5,161,1.4,2.1,2.94,0.666666667,68,134,
95.07692308,184.8461538,3.5,3.5,12.25,1,68,135,
95.88888889,195.4444444,3.5,1.4,4.9,2.5,68,136,
96.54545455,190.7272727,2.8,2.8,7.84,1,68,137,
98.16666667,103.1666667,2.1,2.1,4.41,1,68,161,
99,126.1428571,3.5,2.1,7.35,1.666666667,68,162,
100.75,120,3.5,2.1,7.35,1.666666667,68,166,
100.8888889,143.1111111,2.8,2.8,7.84,1,68,167,
100.4285714,151.2857143,1.4,2.8,3.92,0.5,68,168,
100.3333333,164.3333333,1.4,1.4,1.96,1,69,101,
100.4285714,192.7142857,1.4,2.8,3.92,0.5,69,102,
102,130.8,2.1,2.1,4.41,1,69,103,
104,109,0.7,2.1,1.47,0.333333333,69,107,
104.4,139.2,1.4,2.1,2.94,0.666666667,69,108,
104,181,0.7,2.1,1.47,0.333333333,69,109,
104.625,194.875,2.1,2.8,5.88,0.75,69,110,
105.25,133,1.4,2.1,2.94,0.666666667,69,111,
105.6666667,152.6666667,1.4,1.4,1.96,1,69,116,
105.8333333,159.5,1.4,4.2,5.88,0.333333333,69,117,
108.4375,137.6875,4.9,3.5,17.15,1.4,69,118,
107.375,146.5,2.8,2.8,7.84,1,69,119,
106.3333333,167,1.4,2.1,2.94,0.666666667,69,120,
109,152.8,2.1,2.1,4.41,1,69,121,
111,121.5,2.1,1.4,2.94,1.5,69,122,
110.6666667,140.6666667,1.4,1.4,1.96,1,69,123,
111.6666667,131.6666667,1.4,1.4,1.96,1,69,124,
111.6,158,1.4,3.5,4.9,0.4,69,137,
113.5,181.5,1.4,1.4,1.96,1,69,138,
114.375,187.5,2.8,2.8,7.84,1,69,139,
115.4444444,196.1111111,3.5,3.5,12.25,1,69,157,
114.6666667,160.3333333,1.4,1.4,1.96,1,69,158,
115.6,151.8,1.4,2.1,2.94,0.666666667,69,159,
118.1428571,108.9285714,3.5,3.5,12.25,1,69,160,
118.5,158.5,1.4,2.8,3.92,0.5,69,161,
118.3333333,171.6666667,1.4,1.4,1.96,1,69,168,
119.6666667,141.6666667,1.4,1.4,1.96,1,69,169,
122,114.1666667,2.1,2.1,4.41,1,69,170,
121.3333333,157.5,1.4,2.8,3.92,0.5,70,100,
123.8666667,163.5333333,4.2,5.6,23.52,0.75,70,101,
122.25,168.5,2.1,2.8,5.88,0.75,70,111,
124.1666667,188,2.1,2.1,4.41,1,70,112,
124.3333333,119.3333333,1.4,1.4,1.96,1,70,113,
126.5,128.5,1.4,2.8,3.92,0.5,70,114,
127.5,156.5,1.4,1.4,1.96,1,70,115,
127.3333333,182.6666667,1.4,1.4,1.96,1,70,116,
129.6666667,132,1.4,2.1,2.94,0.666666667,70,139,
130.8,155.6,2.1,1.4,2.94,1.5,70,140,
134.4166667,167.75,4.2,2.1,8.82,2,70,155,
133.3333333,184.8333333,2.8,2.1,5.88,1.333333333,70,156,
133.6666667,178.3333333,1.4,1.4,1.96,1,70,157,
