xfa,yfa,xmem,ymem,group
103.1428571,136,101,133,population
105,143.5,101,134,
106.5238095,126,101,135,
106.25,139,101,136,
107,154.1666667,101,137,
107.5,145.5,101,138,
108.5,149.5,101,139,
109,118.3333333,101,140,
111.2,138.2,101,141,
116,128.9285714,101,142,
114.6666667,123.6666667,101,143,
114.5,143.5,101,144,
118.1818182,121.7272727,101,145,
120,150,102,132,
122.2,146.6,102,133,
123.4375,124.875,102,145,
124.3333333,142.6666667,102,146,
125.5,157,102,147,
125.8333333,134.1666667,102,148,
125.6666667,147.6666667,102,149,
127,129.3333333,102,150,
128.1666667,154.1666667,103,126,
131.4,120.6,103,127,
130.9,144.6,103,128,
132.5,126,103,129,
131.5,137,103,130,
133.6666667,141.6666667,103,131,
133.6666667,152.6666667,103,132,
140.3571429,134.5714286,103,147,
139.2,146.6,103,148,
141.3636364,152.2727273,103,150,
141.2,142.75,103,151,
142.6666667,148.3333333,103,152,
,,104,123,
,,104,124,
,,104,125,
,,104,126,
,,104,128,
,,104,152,
,,104,153,
,,104,154,
,,105,119,
,,105,120,
,,105,121,
,,105,122,
,,105,123,
,,105,125,
,,105,154,
,,105,155,
,,105,156,
,,106,117,
,,106,118,
,,106,119,
,,106,156,
,,106,157,
,,107,117,
,,107,157,
,,108,116,
,,108,117,
,,108,157,
,,109,116,
,,109,156,
,,109,157,
,,110,116,
,,110,117,
,,110,155,
,,110,156,
,,111,117,
,,111,118,
,,111,155,
,,111,156,
,,111,157,
,,112,118,
,,112,157,
,,113,117,
,,113,118,
,,113,157,
,,114,117,
,,114,157,
,,115,117,
,,115,118,
,,115,157,
,,116,118,
,,116,157,
,,117,118,
,,117,157,
,,117,158,
,,118,118,
,,118,119,
,,118,158,
,,119,119,
,,119,158,
,,120,119,
,,120,158,
,,121,119,
,,121,120,
,,121,158,
,,122,120,
,,122,158,
,,123,120,
,,123,158,
,,123,159,
,,124,119,
,,124,120,
,,124,159,
,,125,118,
,,125,119,
,,125,159,
,,125,160,
,,126,117,
,,126,118,
,,126,160,
,,126,161,
,,127,115,
,,127,116,
,,127,117,
,,127,161,
,,128,115,
,,128,161,
,,129,115,
,,129,116,
,,129,158,
,,129,159,
,,129,160,
,,129,161,
,,130,116,
,,130,117,
,,130,118,
,,130,158,
,,130,159,
,,131,118,
,,131,159,
,,131,160,
,,132,118,
,,132,160,
,,133,118,
,,133,119,
,,133,160,
,,134,119,
,,134,120,
,,134,121,
,,134,122,
,,134,160,
,,135,122,
,,135,123,
,,135,159,
,,135,160,
,,136,123,
,,136,124,
,,136,125,
,,136,126,
,,136,127,
,,136,160,
,,137,127,
,,137,128,
,,137,129,
,,137,160,
,,138,129,
,,138,130,
,,138,159,
,,138,160,
,,139,130,
,,139,159,
,,140,130,
,,140,131,
,,140,157,
,,140,158,
,,140,159,
,,141,131,
,,141,132,
,,141,133,
,,141,157,
,,142,133,
,,142,134,
,,142,157,
,,143,134,
,,143,135,
,,143,136,
,,143,156,
,,143,157,
,,144,136,
,,144,137,
,,144,138,
,,144,155,
,,144,156,
,,145,138,
,,145,139,
,,145,140,
,,145,141,
,,145,142,
,,145,148,
,,145,149,
,,145,150,
,,145,151,
,,145,152,
,,145,153,
,,145,154,
,,145,155,
,,146,142,
,,146,143,
,,146,144,
,,146,145,
,,146,146,
,,146,148,
,,147,146,
,,147,147,
,,147,148,
